seed,episodic_return,env,id
3,7745.34375,Breakout-MinAtar,462
4,46.15625,Breakout-MinAtar,462
5,7691.828125,Breakout-MinAtar,462
6,7763.890625,Breakout-MinAtar,462
7,48.28125,Breakout-MinAtar,462
8,54.40625,Breakout-MinAtar,462
9,7755.640625,Breakout-MinAtar,462
10,56.6875,Breakout-MinAtar,462
11,113.28125,Breakout-MinAtar,462
12,7714.171875,Breakout-MinAtar,462
13,7800.625,Breakout-MinAtar,462
14,122.5,Breakout-MinAtar,462
15,122.53125,Breakout-MinAtar,462
16,7798.875,Breakout-MinAtar,462
17,53.5625,Breakout-MinAtar,462
18,7698.984375,Breakout-MinAtar,462
19,7708.09375,Breakout-MinAtar,462
20,7753.609375,Breakout-MinAtar,462
21,7795.078125,Breakout-MinAtar,462
22,105.8125,Breakout-MinAtar,462
23,7812.296875,Breakout-MinAtar,462
24,7721.71875,Breakout-MinAtar,462
25,7807.203125,Breakout-MinAtar,462
26,7768.984375,Breakout-MinAtar,462
27,118.9375,Breakout-MinAtar,462
28,948.40625,Breakout-MinAtar,462
29,150.09375,Breakout-MinAtar,462
0,237.65625,Breakout-MinAtar,733
1,3616.46875,Breakout-MinAtar,733
2,345.0,Breakout-MinAtar,733
3,215.25,Breakout-MinAtar,733
4,3271.78125,Breakout-MinAtar,733
5,602.6875,Breakout-MinAtar,733
6,4661.0,Breakout-MinAtar,733
7,374.53125,Breakout-MinAtar,733
8,622.84375,Breakout-MinAtar,733
9,5740.0,Breakout-MinAtar,733
10,1635.96875,Breakout-MinAtar,733
11,615.9375,Breakout-MinAtar,733
12,3182.1875,Breakout-MinAtar,733
13,2595.546875,Breakout-MinAtar,733
14,838.71875,Breakout-MinAtar,733
15,117.96875,Breakout-MinAtar,733
16,628.71875,Breakout-MinAtar,733
17,665.90625,Breakout-MinAtar,733
18,797.96875,Breakout-MinAtar,733
19,1861.90625,Breakout-MinAtar,733
20,269.96875,Breakout-MinAtar,733
21,1114.15625,Breakout-MinAtar,733
22,362.78125,Breakout-MinAtar,733
23,686.34375,Breakout-MinAtar,733
24,223.875,Breakout-MinAtar,733
25,2209.1875,Breakout-MinAtar,733
26,534.84375,Breakout-MinAtar,733
27,1294.9375,Breakout-MinAtar,733
28,6915.65625,Breakout-MinAtar,733
29,277.71875,Breakout-MinAtar,733
0,52.34375,Breakout-MinAtar,796
1,7776.234375,Breakout-MinAtar,796
2,78.625,Breakout-MinAtar,796
3,7543.203125,Breakout-MinAtar,796
4,13358.84375,Breakout-MinAtar,796
5,19642.765625,Breakout-MinAtar,796
6,53.28125,Breakout-MinAtar,796
7,50.59375,Breakout-MinAtar,796
8,49.6875,Breakout-MinAtar,796
9,3016.25,Breakout-MinAtar,796
10,12520.6875,Breakout-MinAtar,796
11,10005.890625,Breakout-MinAtar,796
12,14306.40625,Breakout-MinAtar,796
13,7774.078125,Breakout-MinAtar,796
14,58341.265625,Breakout-MinAtar,796
15,9193.875,Breakout-MinAtar,796
16,7773.796875,Breakout-MinAtar,796
17,13198.5625,Breakout-MinAtar,796
18,47.53125,Breakout-MinAtar,796
19,8728.5,Breakout-MinAtar,796
20,61.84375,Breakout-MinAtar,796
21,12260.75,Breakout-MinAtar,796
22,21069.34375,Breakout-MinAtar,796
23,13844.46875,Breakout-MinAtar,796
24,19110.25,Breakout-MinAtar,796
25,55.59375,Breakout-MinAtar,796
26,7622.640625,Breakout-MinAtar,796
27,9067.71875,Breakout-MinAtar,796
28,8355.609375,Breakout-MinAtar,796
29,13985.5,Breakout-MinAtar,796
0,7653.8125,Breakout-MinAtar,631
1,7354.859375,Breakout-MinAtar,631
2,77.5,Breakout-MinAtar,631
3,7814.28125,Breakout-MinAtar,631
4,12242.53125,Breakout-MinAtar,631
5,38.6875,Breakout-MinAtar,631
6,308.71875,Breakout-MinAtar,631
7,7782.765625,Breakout-MinAtar,631
8,7017.703125,Breakout-MinAtar,631
9,159.53125,Breakout-MinAtar,631
10,41.71875,Breakout-MinAtar,631
11,66.125,Breakout-MinAtar,631
12,4465.953125,Breakout-MinAtar,631
13,7788.328125,Breakout-MinAtar,631
14,117.1875,Breakout-MinAtar,631
15,302.4375,Breakout-MinAtar,631
16,7691.453125,Breakout-MinAtar,631
17,199.53125,Breakout-MinAtar,631
18,218.0,Breakout-MinAtar,631
19,36.0,Breakout-MinAtar,631
20,49.28125,Breakout-MinAtar,631
21,7699.703125,Breakout-MinAtar,631
22,2963.59375,Breakout-MinAtar,631
23,7831.953125,Breakout-MinAtar,631
24,121.53125,Breakout-MinAtar,631
25,136.3125,Breakout-MinAtar,631
26,7653.25,Breakout-MinAtar,631
27,117.40625,Breakout-MinAtar,631
28,111.03125,Breakout-MinAtar,631
29,52.40625,Breakout-MinAtar,631
0,147918.46875,Breakout-MinAtar,390
1,50024.28125,Breakout-MinAtar,390
2,98394.21875,Breakout-MinAtar,390
3,87049.65625,Breakout-MinAtar,390
4,56599.5,Breakout-MinAtar,390
5,87561.375,Breakout-MinAtar,390
6,94782.90625,Breakout-MinAtar,390
7,158166.640625,Breakout-MinAtar,390
8,86860.125,Breakout-MinAtar,390
9,120089.8125,Breakout-MinAtar,390
10,92928.9375,Breakout-MinAtar,390
11,93269.78125,Breakout-MinAtar,390
12,129891.421875,Breakout-MinAtar,390
13,92945.953125,Breakout-MinAtar,390
14,97073.28125,Breakout-MinAtar,390
15,100595.53125,Breakout-MinAtar,390
16,150746.609375,Breakout-MinAtar,390
17,99407.828125,Breakout-MinAtar,390
18,93078.6875,Breakout-MinAtar,390
19,90389.640625,Breakout-MinAtar,390
20,94991.5625,Breakout-MinAtar,390
21,97362.15625,Breakout-MinAtar,390
22,98001.53125,Breakout-MinAtar,390
23,91497.46875,Breakout-MinAtar,390
24,98986.375,Breakout-MinAtar,390
25,93393.984375,Breakout-MinAtar,390
26,94024.953125,Breakout-MinAtar,390
27,100439.84375,Breakout-MinAtar,390
28,94881.515625,Breakout-MinAtar,390
29,88001.9375,Breakout-MinAtar,390
0,58816.234375,Breakout-MinAtar,343
1,51809.796875,Breakout-MinAtar,343
2,3848.3125,Breakout-MinAtar,343
3,64902.078125,Breakout-MinAtar,343
4,56553.15625,Breakout-MinAtar,343
5,55709.03125,Breakout-MinAtar,343
6,53153.28125,Breakout-MinAtar,343
7,63375.46875,Breakout-MinAtar,343
8,38329.75,Breakout-MinAtar,343
9,57080.03125,Breakout-MinAtar,343
10,51809.796875,Breakout-MinAtar,343
11,46476.453125,Breakout-MinAtar,343
12,58510.046875,Breakout-MinAtar,343
13,8329.90625,Breakout-MinAtar,343
14,53128.96875,Breakout-MinAtar,343
15,55787.109375,Breakout-MinAtar,343
16,51915.859375,Breakout-MinAtar,343
17,56270.859375,Breakout-MinAtar,343
18,49334.03125,Breakout-MinAtar,343
19,50909.28125,Breakout-MinAtar,343
20,62669.609375,Breakout-MinAtar,343
21,54194.125,Breakout-MinAtar,343
22,38234.9375,Breakout-MinAtar,343
23,52768.96875,Breakout-MinAtar,343
24,59291.8125,Breakout-MinAtar,343
25,53256.515625,Breakout-MinAtar,343
26,68532.40625,Breakout-MinAtar,343
27,50376.09375,Breakout-MinAtar,343
28,44352.328125,Breakout-MinAtar,343
29,50509.5,Breakout-MinAtar,343
0,125681.15625,Breakout-MinAtar,664
1,48797.96875,Breakout-MinAtar,664
2,99914.765625,Breakout-MinAtar,664
3,106688.40625,Breakout-MinAtar,664
4,156988.84375,Breakout-MinAtar,664
5,58393.4375,Breakout-MinAtar,664
6,192296.28125,Breakout-MinAtar,664
7,76833.765625,Breakout-MinAtar,664
8,144416.5625,Breakout-MinAtar,664
9,157551.953125,Breakout-MinAtar,664
10,180134.40625,Breakout-MinAtar,664
11,146157.125,Breakout-MinAtar,664
12,143990.78125,Breakout-MinAtar,664
13,180379.3125,Breakout-MinAtar,664
14,144129.1875,Breakout-MinAtar,664
15,178112.375,Breakout-MinAtar,664
16,213327.875,Breakout-MinAtar,664
17,63820.90625,Breakout-MinAtar,664
18,164100.875,Breakout-MinAtar,664
19,132797.890625,Breakout-MinAtar,664
20,105182.390625,Breakout-MinAtar,664
21,215069.484375,Breakout-MinAtar,664
22,130302.9375,Breakout-MinAtar,664
23,118538.75,Breakout-MinAtar,664
24,180787.296875,Breakout-MinAtar,664
25,99453.3125,Breakout-MinAtar,664
26,109664.859375,Breakout-MinAtar,664
27,85832.90625,Breakout-MinAtar,664
28,109205.953125,Breakout-MinAtar,664
29,220380.203125,Breakout-MinAtar,664
0,7818.6875,Breakout-MinAtar,871
1,7776.828125,Breakout-MinAtar,871
2,48.25,Breakout-MinAtar,871
3,7780.875,Breakout-MinAtar,871
4,24.75,Breakout-MinAtar,871
5,52.09375,Breakout-MinAtar,871
6,7852.671875,Breakout-MinAtar,871
7,7754.203125,Breakout-MinAtar,871
8,7759.953125,Breakout-MinAtar,871
9,43.8125,Breakout-MinAtar,871
10,53.6875,Breakout-MinAtar,871
11,7785.8125,Breakout-MinAtar,871
12,33.8125,Breakout-MinAtar,871
13,48.3125,Breakout-MinAtar,871
14,7802.4375,Breakout-MinAtar,871
15,7774.28125,Breakout-MinAtar,871
16,7768.046875,Breakout-MinAtar,871
17,35.4375,Breakout-MinAtar,871
18,7762.5625,Breakout-MinAtar,871
19,43.59375,Breakout-MinAtar,871
20,7773.140625,Breakout-MinAtar,871
21,7785.0,Breakout-MinAtar,871
22,7837.515625,Breakout-MinAtar,871
23,43.53125,Breakout-MinAtar,871
24,7790.65625,Breakout-MinAtar,871
25,55.03125,Breakout-MinAtar,871
26,50.5,Breakout-MinAtar,871
27,41.28125,Breakout-MinAtar,871
28,7782.609375,Breakout-MinAtar,871
29,51.5,Breakout-MinAtar,871
0,3990.828125,Breakout-MinAtar,457
1,182.6875,Breakout-MinAtar,457
2,6131.921875,Breakout-MinAtar,457
3,4039.140625,Breakout-MinAtar,457
4,471.5,Breakout-MinAtar,457
5,7008.15625,Breakout-MinAtar,457
6,7392.609375,Breakout-MinAtar,457
7,7486.859375,Breakout-MinAtar,457
8,7210.03125,Breakout-MinAtar,457
9,834.75,Breakout-MinAtar,457
10,6796.34375,Breakout-MinAtar,457
11,3307.328125,Breakout-MinAtar,457
12,6603.390625,Breakout-MinAtar,457
13,6785.671875,Breakout-MinAtar,457
14,537.46875,Breakout-MinAtar,457
15,5.6875,Breakout-MinAtar,457
16,6408.28125,Breakout-MinAtar,457
17,6997.203125,Breakout-MinAtar,457
18,7288.421875,Breakout-MinAtar,457
19,411.5625,Breakout-MinAtar,457
20,551.5625,Breakout-MinAtar,457
21,50.40625,Breakout-MinAtar,457
22,6491.453125,Breakout-MinAtar,457
23,459.25,Breakout-MinAtar,457
24,322.0,Breakout-MinAtar,457
25,254.21875,Breakout-MinAtar,457
26,150.3125,Breakout-MinAtar,457
27,7447.28125,Breakout-MinAtar,457
28,404.75,Breakout-MinAtar,457
29,32.8125,Breakout-MinAtar,457
0,48294.078125,Breakout-MinAtar,118
1,65666.890625,Breakout-MinAtar,118
2,59264.859375,Breakout-MinAtar,118
3,54913.25,Breakout-MinAtar,118
4,1967.625,Breakout-MinAtar,118
5,27056.03125,Breakout-MinAtar,118
6,64684.8125,Breakout-MinAtar,118
7,783.28125,Breakout-MinAtar,118
8,8374.28125,Breakout-MinAtar,118
9,48472.0625,Breakout-MinAtar,118
10,42592.921875,Breakout-MinAtar,118
11,59321.984375,Breakout-MinAtar,118
12,18233.0625,Breakout-MinAtar,118
13,497.34375,Breakout-MinAtar,118
14,69294.5625,Breakout-MinAtar,118
15,62581.671875,Breakout-MinAtar,118
16,54961.296875,Breakout-MinAtar,118
17,6608.125,Breakout-MinAtar,118
18,30072.125,Breakout-MinAtar,118
19,58271.53125,Breakout-MinAtar,118
20,63766.125,Breakout-MinAtar,118
21,1605.5625,Breakout-MinAtar,118
22,11053.890625,Breakout-MinAtar,118
23,64213.125,Breakout-MinAtar,118
24,2499.4375,Breakout-MinAtar,118
25,56228.625,Breakout-MinAtar,118
26,24441.46875,Breakout-MinAtar,118
27,14117.796875,Breakout-MinAtar,118
28,4829.875,Breakout-MinAtar,118
29,474.875,Breakout-MinAtar,118
0,19838.15625,Breakout-MinAtar,565
1,73818.890625,Breakout-MinAtar,565
2,27547.5,Breakout-MinAtar,565
3,69808.078125,Breakout-MinAtar,565
4,39435.140625,Breakout-MinAtar,565
5,33038.578125,Breakout-MinAtar,565
6,36621.75,Breakout-MinAtar,565
7,30284.65625,Breakout-MinAtar,565
8,51111.890625,Breakout-MinAtar,565
9,90914.5,Breakout-MinAtar,565
10,30421.375,Breakout-MinAtar,565
11,70989.0625,Breakout-MinAtar,565
12,98935.09375,Breakout-MinAtar,565
13,24075.03125,Breakout-MinAtar,565
14,44941.40625,Breakout-MinAtar,565
15,110595.453125,Breakout-MinAtar,565
16,18053.359375,Breakout-MinAtar,565
17,17837.5,Breakout-MinAtar,565
18,28307.640625,Breakout-MinAtar,565
19,54108.375,Breakout-MinAtar,565
20,61436.015625,Breakout-MinAtar,565
21,123898.1875,Breakout-MinAtar,565
22,56324.359375,Breakout-MinAtar,565
23,107748.640625,Breakout-MinAtar,565
24,33617.53125,Breakout-MinAtar,565
25,114954.015625,Breakout-MinAtar,565
26,139718.5,Breakout-MinAtar,565
27,34998.875,Breakout-MinAtar,565
28,89569.65625,Breakout-MinAtar,565
29,19447.25,Breakout-MinAtar,565
0,13127.53125,Breakout-MinAtar,922
1,15744.09375,Breakout-MinAtar,922
2,9970.390625,Breakout-MinAtar,922
3,9994.59375,Breakout-MinAtar,922
4,9964.78125,Breakout-MinAtar,922
5,52613.09375,Breakout-MinAtar,922
6,28713.03125,Breakout-MinAtar,922
7,10022.71875,Breakout-MinAtar,922
8,26076.375,Breakout-MinAtar,922
9,9954.546875,Breakout-MinAtar,922
10,13724.84375,Breakout-MinAtar,922
11,32147.09375,Breakout-MinAtar,922
12,15022.625,Breakout-MinAtar,922
13,10053.8125,Breakout-MinAtar,922
14,10097.0625,Breakout-MinAtar,922
15,9993.609375,Breakout-MinAtar,922
16,12470.6875,Breakout-MinAtar,922
17,33750.6875,Breakout-MinAtar,922
18,59721.515625,Breakout-MinAtar,922
19,10608.8125,Breakout-MinAtar,922
20,15920.96875,Breakout-MinAtar,922
21,36507.15625,Breakout-MinAtar,922
22,10055.53125,Breakout-MinAtar,922
23,9959.953125,Breakout-MinAtar,922
24,9991.4375,Breakout-MinAtar,922
25,78666.59375,Breakout-MinAtar,922
26,12024.0,Breakout-MinAtar,922
27,9879.453125,Breakout-MinAtar,922
28,9953.21875,Breakout-MinAtar,922
29,32835.25,Breakout-MinAtar,922
0,7806.375,Breakout-MinAtar,894
1,7828.109375,Breakout-MinAtar,894
2,47.34375,Breakout-MinAtar,894
3,7791.296875,Breakout-MinAtar,894
4,49.75,Breakout-MinAtar,894
5,7778.734375,Breakout-MinAtar,894
6,49.71875,Breakout-MinAtar,894
7,7807.671875,Breakout-MinAtar,894
8,47.34375,Breakout-MinAtar,894
9,49.875,Breakout-MinAtar,894
10,7762.125,Breakout-MinAtar,894
11,50.65625,Breakout-MinAtar,894
12,53.125,Breakout-MinAtar,894
13,48.09375,Breakout-MinAtar,894
14,7770.890625,Breakout-MinAtar,894
15,7792.71875,Breakout-MinAtar,894
16,51.0,Breakout-MinAtar,894
17,50.40625,Breakout-MinAtar,894
18,47.46875,Breakout-MinAtar,894
19,48.875,Breakout-MinAtar,894
20,51.375,Breakout-MinAtar,894
21,7781.859375,Breakout-MinAtar,894
22,50.34375,Breakout-MinAtar,894
23,53.59375,Breakout-MinAtar,894
